ID, Name, Address, Amenity, Latitude, Longitute
3536179577, Носталгија, Митрополит Теодосиј Гологанов, restaurant, 41.9953743, 21.4099065
4198944089, Ch2pter, Љубљанска, cafe, 42.0046060, 21.3862677
1770866402, Пицерија Либертас, T.C Bunjakovec prv kat lok 36, restaurant, 41.9987097, 21.4207447
3494577049, Burger King, Љубљанска, fast_food, 42.0048773, 21.3912646
5624670966, МЦМ Мезе Бар, Булевар Илинден, restaurant, 42.0023813, 21.4235595
5572053321, Дебар Маало, Живко Чинго, restaurant, 42.0013292, 21.4205747
9163117743, Plato Coffee 2.0, Њуделхиска, cafe, 41.9986280, 21.4059250
5268700370, Pizza Jakomo, Никола Русински, restaurant, 42.0044372, 21.3931934
7093171485, Рок Кафана Рустикана 2.0, Булевар Илинден, restaurant, 42.0062237, 21.4157772
1372568001, Веки, Варшавска, restaurant, 42.0008550, 21.3989291
445893304, нола Бар, Митрополит Теодосиј Гологанов, bar, 41.9947703, 21.4138028
2105387352, Бруклински, Орце Николов, restaurant, 42.0001581, 21.4252581
6577887485, Веган365Кујна, Булевар Климент Охридски, cafe, 41.9992458, 21.4263142
7145674630, Marvel Coffee Bar, Никола Тесла, bar, 42.0052205, 21.4108493
5687563887, BubbleWaffle's, Димитрие Чуповски, fast_food, 41.9944177, 21.4318165
3341289788, Caffe Bar Dolce Vita, Македонија, cafe, 41.9927362, 21.4298707
6632801985, La Puerta, Кеј 13 Ноември, fast_food, 41.9953660, 21.4348630
309894643, Пелистер, Плоштад Македонија, restaurant, 41.9953933, 21.4315704
3101726040, Пивница АН, Градиште, restaurant, 42.0000179, 21.4366005
2814545377, Bocata, Никола Вапцаров, cafe, 41.9955477, 21.4308204
2823030396, Етно-бар, Кеј 13 Ноември, bar, 41.9955386, 21.4340509
3341289753, Gnezdo, Македонија, cafe, 41.9938562, 21.4303650
4149490289, Amigos Мексиканска Кантина, Македонија, restaurant, 41.9933026, 21.4300742
3341289789, Damaskino, Македонија, restaurant, 41.9925716, 21.4297981
309875534, Ирски паб Св. Патрик, Кеј 13 Ноември, pub, 41.9950681, 21.4355937
4594432346, Даблинер, Кеј 13 Ноември, pub, 41.9954679, 21.4342829
6680280012, Boomerang Shisha, Казанџиска, cafe, 41.9994044, 21.4368049
4195733217, Соул кичен, Кеј 13 Ноември, restaurant, 41.9955972, 21.4338587
3103985004, Telekom Trend Lounge Bar, Кеј 13 Ноември, cafe, 41.9958677, 21.4330712
459670881, Play Cafe, Македонија, cafe, 41.9926530, 21.4298360
553425017, London Pub, Никола Вапцаров, pub, 41.9957302, 21.4302534
1858969938, LA MER - Coffe & Wine bar, Васил Иљоски, bar, 41.9975241, 21.4295352
5160613722, Мезе Бар, Булевар Кузман Јосифовски Питу, restaurant, 41.9899769, 21.4492023
4594432343, Ало ало, Кеј 13 Ноември, pub, 41.9955027, 21.4341686
3341289752, Bistro Skopje, Македонија, cafe, 41.9944452, 21.4306195
4318400296, Златна вилушка, Булевар АСНОМ, restaurant, 41.9915744, 21.4655483
2814545378, Coffee Factory 2, Македонија, cafe, 41.9949424, 21.4308588
3505013893, Destan, 11 Октомври, restaurant, 41.9947506, 21.4319604
3341289786, Caffe Novo, Македонија, cafe, 41.9929701, 21.4302256
3341289790, Corsso, Даме Груев, cafe, 41.9923772, 21.4293734
3505013993, Ла Тераца, 11 Октомври, restaurant, 41.9950911, 21.4317257
459670767, Caffe Skopje, Македонија, cafe, 41.9952414, 21.4310013
1866179709, Pizza FRESKO, Македонија, fast_food, 41.9930256, 21.4302496
4459578969, Амика, Кеј 13 Ноември, restaurant, 41.9949989, 21.4355402
2159535851, Бела виста, Кеј 13 Ноември, restaurant, 41.9953199, 21.4347685
3304519276, Лесковац, Булевар Јане Сандански, fast_food, 41.9892217, 21.4634495
4004645106, Пекинг Гарден, Максим Горки, restaurant, 41.9957324, 21.4301301
459669063, Плаза де Торос, Кеј 13 Ноември, restaurant, 41.9952456, 21.4350117
2695392360, Casa Cubana, Кеј 13 Ноември, pub, 41.9954474, 21.4343506
1935491365, Карпе дием, Кеј 13 Ноември, pub, 41.9951834, 21.4352156
3663791822, Royal Burger, Булевар Видое Смилевски Бато, fast_food, 41.9811549, 21.4755231
4375519489, Гет Кафе, Христо Татарчев, cafe, 41.9728434, 21.4448074
4101107990, Makedonska sofra, Јужен Булевар, restaurant, 41.9871974, 21.4365756
5402663235, Coffeelix, Булевар Јане Сандански, bar, 41.9830723, 21.4711307
4016557277, Campione lounge Bar, Boulevard Jane Sandanski, restaurant, 41.9856123, 21.4667276
4016557278, DejaVu Lounge, Boulevard Jane Sandanski, restaurant, 41.9859376, 21.4661426
